date,event_type,amount,currency,direction,reference,description,balance_after
2026-04-02,salary,65000,INR,credit,WK-BANK-0402,Irregular contract pay,18000
2026-04-06,other,30000,INR,debit,WK-BANK-0406,Household spending,-12000
2026-05-02,salary,60000,INR,credit,WK-BANK-0502,Irregular contract pay,8000
2026-05-06,other,30000,INR,debit,WK-BANK-0506,Household spending,-22000
2026-06-02,salary,42000,INR,credit,WK-BANK-0602,Irregular contract pay,-12000
2026-06-06,other,30000,INR,debit,WK-BANK-0606,Household spending,-42000
2026-07-02,salary,30000,INR,credit,WK-BANK-0702,Irregular contract pay,5000
2026-07-06,other,30000,INR,debit,WK-BANK-0706,Household spending,-25000
2026-08-02,salary,28000,INR,credit,WK-BANK-0802,Irregular contract pay,-7000
2026-08-06,other,30000,INR,debit,WK-BANK-0806,Household spending,-37000
2026-09-02,salary,26000,INR,credit,WK-BANK-0902,Irregular contract pay,-18000
2026-09-06,other,30000,INR,debit,WK-BANK-0906,Household spending,-48000
